# 847 Layer-(c) §5 reference-repair worklist — GET re-probe of the 134 HEAD-dead refs.
# MEASURE not verdict. INPUT for ai-01 synthesis update. GATED jsboige ratification. 0 prod CSV.
# get_class in {alive, redirect-3xx, dead, unknown}. Reproducible from 847-layerc-reference-reachability-refs.csv (dead bucket).
pk,lang,host,url,family,subfamily,subsub,get_code,get_class,final_url
767,en,rationalwiki.org,http://rationalwiki.org/wiki/Substituting_explanation_for_premise,Erreur de raisonnement,Mauvaise déduction,Conclusion hâtive,503,dead,https://rationalwiki.org/wiki/Substituting_explanation_for_premise
769,en,rationalwiki.org,http://rationalwiki.org/wiki/Moral_equivalence,Erreur de raisonnement,Mauvaise déduction,Conclusion hâtive,503,dead,https://rationalwiki.org/wiki/Moral_equivalence
772,en,rationalwiki.org,https://rationalwiki.org/wiki/Gish_Gallop,Erreur de raisonnement,Mauvaise déduction,Conclusion hâtive,503,dead,https://rationalwiki.org/wiki/Gish_Gallop
779,en,rationalwiki.org,http://rationalwiki.org/wiki/Self-refuting_idea,Erreur de raisonnement,Mauvaise déduction,Inconsistance,503,dead,https://rationalwiki.org/wiki/Self-refuting_idea
811,en,rationalwiki.org,https://rationalwiki.org/wiki/Phantom_distinction,Abus de langage,Définition inexacte,Acception arbitraire,503,dead,https://rationalwiki.org/wiki/Phantom_distinction
824,en,rationalwiki.org,http://rationalwiki.org/wiki/One-way_hash_argument,Abus de langage,Définition inexacte,Acception arbitraire,503,dead,https://rationalwiki.org/wiki/One-way_hash_argument
829,en,rationalwiki.org,http://rationalwiki.org/wiki/Circular_reasoning,Abus de langage,Définition inexacte,Définition inconsistante,503,dead,https://rationalwiki.org/wiki/Circular_reasoning
830,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ad_dictionarium,Abus de langage,Définition inexacte,Définition inconsistante,503,dead,https://rationalwiki.org/wiki/Argumentum_ad_dictionarium
851,en,rationalwiki.org,http://rationalwiki.org/wiki/Fallacy_of_accent,Abus de langage,Ambiguïté,Amphibologie,503,dead,https://rationalwiki.org/wiki/Fallacy_of_accent
871,en,rationalwiki.org,http://rationalwiki.org/wiki/Word_magic,Abus de langage,Ambiguïté,Equivoque,503,dead,https://rationalwiki.org/wiki/Word_magic
872,en,rationalwiki.org,https://rationalwiki.org/wiki/Mistaking_the_map_for_the_territory,Abus de langage,Ambiguïté,Equivoque,503,dead,https://rationalwiki.org/wiki/Mistaking_the_map_for_the_territory
879,en,rationalwiki.org,http://rationalwiki.org/wiki/Damning_with_faint_praise,Abus de langage,Ambiguïté,Ambiguïté narrative,503,dead,https://rationalwiki.org/wiki/Damning_with_faint_praise
891,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,Tricherie,Arranger les faits,Mensonge,404,dead,https://climatecommunication.gmu.edu/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf
913,en,rationalwiki.org,http://rationalwiki.org/wiki/Canard,Tricherie,Arranger les faits,Mensonge,503,dead,https://rationalwiki.org/wiki/Canard
928,en,rationalwiki.org,http://rationalwiki.org/wiki/Flying_carpet_fallacy,Tricherie,Arranger les faits,Mensonge,503,dead,https://rationalwiki.org/wiki/Flying_carpet_fallacy
945,en,rationalwiki.org,http://rationalwiki.org/wiki/Quotemining,Tricherie,Arranger les faits,Fausse attribution,503,dead,https://rationalwiki.org/wiki/Quotemining
946,fr,cs.oswego.edu,http://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryL/section31/main.html,Tricherie,Arranger les faits,Fausse attribution,404,dead,https://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryL/section31/main.html
976,en,climatechangecommunication.org,https://www.climatechangecommunication.org/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf,Tricherie,Changement de cap,Exigence renforcée,404,dead,https://climatecommunication.gmu.edu/wp-content/uploads/2020/11/Cook_2020_deconstructing_denial.pdf
980,en,rationalwiki.org,http://rationalwiki.org/wiki/Science_was_wrong_before,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/Science_was_wrong_before
981,en,rationalwiki.org,http://rationalwiki.org/wiki/Media_was_wrong_before,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/Media_was_wrong_before
982,en,rationalwiki.org,http://rationalwiki.org/wiki/Inverse_stopped_clock,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/Inverse_stopped_clock
985,en,rationalwiki.org,http://rationalwiki.org/wiki/Sanctioning_the_devil,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/Sanctioning_the_devil
986,fr,mgtow-france.fr,https://mgtow-france.fr/2020/01/sophismes-kafkaiens-les-armes-rhetoriques-de-la-victimisation/,Tricherie,Changement de cap,Exigence renforcée,404,dead,https://mgtow-france.fr/2020/01/sophismes-kafkaiens-les-armes-rhetoriques-de-la-victimisation/
987,en,rationalwiki.org,http://rationalwiki.org/wiki/One_single_proof,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/One_single_proof
988,en,rationalwiki.org,http://rationalwiki.org/wiki/On_the_spot_fallacy,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/On_the_spot_fallacy
991,en,rationalwiki.org,http://rationalwiki.org/wiki/Big_words,Tricherie,Changement de cap,Exigence renforcée,503,dead,https://rationalwiki.org/wiki/Big_words
999,en,rationalwiki.org,http://rationalwiki.org/wiki/Morton%27s_fork,Tricherie,Changement de cap,Beurre et argent du beurre,503,dead,https://rationalwiki.org/wiki/Morton%27s_fork
1007,en,rationalwiki.org,"http://rationalwiki.org/wiki/Not_prejudiced,_but_._._.",Tricherie,Changement de cap,Beurre et argent du beurre,503,dead,"https://rationalwiki.org/wiki/Not_prejudiced,_but_._._."
1008,en,rationalwiki.org,http://rationalwiki.org/wiki/Escape_hatch,Tricherie,Changement de cap,Beurre et argent du beurre,503,dead,https://rationalwiki.org/wiki/Escape_hatch
1009,en,rationalwiki.org,http://rationalwiki.org/wiki/What%27s_the_harm,Tricherie,Changement de cap,Beurre et argent du beurre,503,dead,https://rationalwiki.org/wiki/What%27s_the_harm
1018,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_identity,Tricherie,Changement de cap,Exigence relâchée,503,dead,https://rationalwiki.org/wiki/Appeal_to_identity
1022,en,rationalwiki.org,http://rationalwiki.org/wiki/Fun:Argument_from_oh_bloody_hell_that_was_years_ago,Tricherie,Changement de cap,Exigence relâchée,503,dead,https://rationalwiki.org/wiki/Fun:Argument_from_oh_bloody_hell_that_was_years_ago
1083,en,rationalwiki.org,https://rationalwiki.org/wiki/Apophenia,Tricherie,Pensée biaisée,Biais naturels,503,dead,https://rationalwiki.org/wiki/Apophenia
1087,en,rationalwiki.org,http://rationalwiki.org/wiki/Anecdotal_evidence,Tricherie,Pensée biaisée,Biais naturels,503,dead,https://rationalwiki.org/wiki/Anecdotal_evidence
1185,en,rationalwiki.org,http://rationalwiki.org/wiki/Fallacy_of_opposition#Fallacy_of_prejudice,Tricherie,Pensée biaisée,Biais culturels,503,dead,https://rationalwiki.org/wiki/Fallacy_of_opposition
1197,en,rationalwiki.org,http://rationalwiki.org/wiki/Galileo_gambit,Tricherie,Pensée biaisée,Biais culturels,503,dead,https://rationalwiki.org/wiki/Galileo_gambit
1286,en,rationalwiki.org,http://rationalwiki.org/wiki/Wronger_than_wrong,Obstruction,Refus du débat,Relativisme abusif,503,dead,https://rationalwiki.org/wiki/Wronger_than_wrong
1293,en,rationalwiki.org,http://rationalwiki.org/wiki/Handwave,Obstruction,Refus du débat,Sophisme d'Explication,503,dead,https://rationalwiki.org/wiki/Handwave
1309,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_censorship,Obstruction,Refus du débat,Preuve par assertion,503,dead,https://rationalwiki.org/wiki/Appeal_to_censorship
1321,en,rationalwiki.org,http://rationalwiki.org/wiki/Moral_equivalence,Obstruction,Saboter le débat,Evasion,503,dead,https://rationalwiki.org/wiki/Moral_equivalence
1331,en,rationalwiki.org,https://rationalwiki.org/wiki/Gish_Gallop,Obstruction,Saboter le débat,Evasion,503,dead,https://rationalwiki.org/wiki/Gish_Gallop
1348,en,rationalwiki.org,http://rationalwiki.org/wiki/On_the_spot_fallacy,Obstruction,Saboter le débat,Complication exagérée,503,dead,https://rationalwiki.org/wiki/On_the_spot_fallacy
1353,en,rationalwiki.org,http://rationalwiki.org/wiki/JAQing_off,Obstruction,Saboter le débat,Empoisonner le puits,503,dead,https://rationalwiki.org/wiki/JAQing_off
1356,en,rationalwiki.org,http://rationalwiki.org/wiki/DARVO,Obstruction,Saboter le débat,Empoisonner le puits,503,dead,https://rationalwiki.org/wiki/DARVO
1363,en,rationalwiki.org,http://rationalwiki.org/wiki/Whataboutism,Obstruction,Ad hominem,Procès en inconsistance,503,dead,https://rationalwiki.org/wiki/Whataboutism
1370,fr,rationalwiki.org,http://rationalwiki.org/wiki/Pathos_gambit,Obstruction,Ad hominem,Procès en inconsistance,503,dead,https://rationalwiki.org/wiki/Pathos_gambit
1370,en,rationalwiki.org,http://rationalwiki.org/wiki/Pathos_gambit,Obstruction,Ad hominem,Procès en inconsistance,503,dead,https://rationalwiki.org/wiki/Pathos_gambit
1374,en,rationalwiki.org,http://rationalwiki.org/wiki/Red-baiting,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Red-baiting
1375,en,rationalwiki.org,http://rationalwiki.org/wiki/Pink-baiting,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Pink-baiting
1376,en,rationalwiki.org,http://rationalwiki.org/wiki/Terrorism-baiting,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Terrorism-baiting
1377,en,rationalwiki.org,http://rationalwiki.org/wiki/Anti-environmentalism,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Anti-environmentalism
1378,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_identity,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Appeal_to_identity
1383,en,rationalwiki.org,http://rationalwiki.org/wiki/Shill_gambit,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Shill_gambit
1384,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_bias,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Appeal_to_bias
1387,en,rationalwiki.org,http://rationalwiki.org/wiki/Damning_with_faint_praise,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Damning_with_faint_praise
1390,en,rationalwiki.org,http://rationalwiki.org/wiki/Argumentum_ad_cellarium,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Argumentum_ad_cellarium
1391,en,rationalwiki.org,http://rationalwiki.org/wiki/Credentialism,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Credentialism
1392,en,rationalwiki.org,http://rationalwiki.org/wiki/Fallacy_of_opposition,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Fallacy_of_opposition
1394,en,rationalwiki.org,http://rationalwiki.org/wiki/Jonanism,Obstruction,Ad hominem,Sophisme génétique,503,dead,https://rationalwiki.org/wiki/Jonanism
