# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
103,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Pluralistic_ignorance,wikipedia-stable
104,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argumentum_ad_antiquitatem,wikipedia-stable
104,en,csun.edu,http://www.csun.edu/%7Edgw61315/fallacies.html#Argumentum%20ad%20antiquitatem,alive
104,ru,studme.org,https://studme.org/336718/ritorika/argument_traditsii,dictionary-known
105,en,rationalwiki.org,https://rationalwiki.org/wiki/Draft:Appeal_to_precedent,dead
105,ru,studme.org,https://studme.org/336718/ritorika/argument_traditsii,dictionary-known
106,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Not_invented_here,wikipedia-stable
107,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_ancient_wisdom,dead
108,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Appel_à_la_nature,wikipedia-stable
108,en,en.wikipedia.org,"https://en.wikipedia.org/wiki/Appeal_to_nature
https://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm",wikipedia-stable
108,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Апелляция_к_природе,wikipedia-stable
109,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/écoblanchiment,wikipedia-stable
109,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Greenwashing,wikipedia-stable
109,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D0%BC%D1%83%D1%84%D0%BB%D1%8F%D0%B6,wikipedia-stable
109,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Greenwashing,wikipedia-stable
109,ar,ar.wikipedia.org,https://ar.wikipedia.org/wiki/%D8%B8%D8%A7%D9%87%D8%B1%D8%A9%20%D8%A7%D9%84%D8%BA%D8%B3%D9%84%20%D8%A7%D9%84%D8%A3%D8%AE%D8%B6%D8%B1,wikipedia-stable
109,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Ecoimpostura,wikipedia-stable
109,fa,fa.wikipedia.org,https://fa.wikipedia.org/wiki/%D8%B3%D8%A8%D8%B2%D8%B4%D9%88%DB%8C%DB%8C,wikipedia-stable
110,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Technophobie,wikipedia-stable
110,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Technophobia,wikipedia-stable
110,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D1%84%D0%BE%D0%B1%D0%B8%D1%8F,wikipedia-stable
110,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Tecnofobia,wikipedia-stable
110,ar,ar.wikipedia.org,https://ar.wikipedia.org/wiki/%D8%B1%D9%87%D8%A7%D8%A8%20%D8%A7%D9%84%D8%AA%D9%82%D8%A7%D9%86%D8%A9,wikipedia-stable
110,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Tecnofobia,wikipedia-stable
110,zh,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E6%8A%80%E6%9C%AF%E6%81%90%E6%83%A7,wikipedia-stable
110,fa,fa.wikipedia.org,https://fa.wikipedia.org/wiki/%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C%E2%80%8C%D9%87%D8%B1%D8%A7%D8%B3%DB%8C,wikipedia-stable
111,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Bon_sauvage,wikipedia-stable
111,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Noble_savage,wikipedia-stable
112,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Moralistic_fallacy,wikipedia-stable
113,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/31/Appeal-to-Faith,dictionary-known
114,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#future,archive-repointed
115,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argumentum_ad_novitatem,wikipedia-stable
115,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Appeal_to_novelty,wikipedia-stable
116,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Chronological_snobbery,wikipedia-stable
117,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Moral_high_ground#Everyday_use,wikipedia-stable
118,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Snob,wikipedia-stable
118,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Snob,wikipedia-stable
119,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Elitisme,wikipedia-stable
119,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Elitism,wikipedia-stable
120,fr,fallacydetective.com,http://www.fallacydetective.com/news/read/snob-appeal,dictionary-known
120,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_the_minority,dead
121,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Politiquement_correct,wikipedia-stable
121,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/141/Political-Correctness-Fallacy,dictionary-known
122,en,skepdic.com,http://skepdic.com/blasphemy.html,dictionary-known
123,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/%C3%89tiquette_(code),wikipedia-stable
123,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Etiquette,wikipedia-stable
